"SBO SIN RECUPERACIÓN DE SISTEMAS"
"TIME","PPS","QCORE","MSTPS","TGPS","MWCR","XWCOR","WSTEAM","MWLP","TWLP","WJETO","WCORI","WWRC","WCRD","MH2GEN(2)","MH2GEN(3)","MH2GEN(4)","MH2GEN(5)","WWRV","WGRV","WWSV","WGSV","WWBRK","WGBRK","WWLOCA","WGLOC","WFW","WGINST","WSCS","MWCRD",
" SECONDS","PA","W","KG","K","KG","M","KG/S","KG","K","KG/S","KG/S","KG/S","KG/S","KG","KG","KG","KG","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG",
 1.0894953E+03, 7.4567527E+06, 4.6101535E+07, 8.8589987E+03, 5.6552921E+02, 3.2840167E+04, 1.0235550E+01, 1.3621610E+01, 6.1224080E+04, 5.5896685E+02,-1.5450718E+02,-1.5194411E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8543025E+04,
 1.1503834E+03, 7.4538591E+06, 4.5449352E+07, 8.9512036E+03, 5.6549710E+02, 3.1180089E+04, 9.9124516E+00, 1.4663084E+01, 6.1209494E+04, 5.5906417E+02,-1.0451868E+02,-1.0338389E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8534379E+04,
 1.2112868E+03, 7.4530564E+06, 4.4829761E+07, 9.0453265E+03, 5.6548932E+02, 2.9889917E+04, 9.7396356E+00, 1.4407531E+01, 6.1201222E+04, 5.5911835E+02,-6.7405176E+01,-6.6615114E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8526072E+04,
 1.2713981E+03, 7.4359802E+06, 4.4247531E+07, 9.1207611E+03, 5.6520682E+02, 2.8735755E+04, 9.6886854E+00, 1.4846108E+01, 6.1196557E+04, 5.5915425E+02,-1.0191341E+02,-1.0089298E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8518250E+04,
 1.3317833E+03, 7.4177491E+06, 4.3689533E+07, 9.1959420E+03, 5.6494308E+02, 2.7515365E+04, 9.6267560E+00, 1.5301498E+01, 6.1188589E+04, 5.5919902E+02,-1.1127492E+02,-1.0938204E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8510697E+04,
 1.3919539E+03, 7.3998364E+06, 4.3158224E+07, 9.2669794E+03, 5.6466582E+02, 2.6389394E+04, 9.6086354E+00, 1.6227835E+01, 6.1184874E+04, 5.5922625E+02,-1.3143093E+02,-1.2995780E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8503429E+04,
 1.4519731E+03, 7.3811605E+06, 4.2650997E+07, 9.3380283E+03, 5.6436870E+02, 2.5325316E+04, 9.5813196E+00, 1.6997335E+01, 6.1181871E+04, 5.5924278E+02,-1.4003574E+02,-1.3770082E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8496422E+04,
 1.5123836E+03, 7.3710514E+06, 4.2159947E+07, 9.4138060E+03, 5.6420326E+02, 2.4250024E+04, 9.5464173E+00, 1.8211036E+01, 6.1180668E+04, 5.5925594E+02,-1.4646259E+02,-1.4534736E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8489674E+04,
 1.5732007E+03, 7.3692023E+06, 4.1678706E+07, 9.5007328E+03, 5.6417726E+02, 2.3097303E+04, 9.4865672E+00, 1.7917649E+01, 6.1178365E+04, 5.5926772E+02,-1.5573692E+02,-1.5353755E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8483209E+04,
 1.6338168E+03, 7.3696471E+06, 4.1218040E+07, 9.5874153E+03, 5.6420072E+02, 2.1949934E+04, 9.4378232E+00, 1.8795373E+01, 6.1178504E+04, 5.5926748E+02,-1.5832625E+02,-1.5610611E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8477104E+04,
 1.6940538E+03, 7.3684071E+06, 4.0777849E+07, 9.6717592E+03, 5.6419575E+02, 2.0850650E+04, 9.3968343E+00, 1.8689434E+01, 6.1180489E+04, 5.5925551E+02,-1.6422590E+02,-1.6188185E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8471380E+04,
 1.7541977E+03, 7.3681827E+06, 4.0354781E+07, 9.7581966E+03, 5.6418575E+02, 1.9765799E+04, 9.3259765E+00, 1.9246802E+01, 6.1182847E+04, 5.5924041E+02,-1.5245541E+02,-1.5118145E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8466003E+04,
 1.8148947E+03, 7.3728292E+06, 3.9943505E+07, 9.8511013E+03, 5.6427266E+02, 1.8692632E+04, 9.1914075E+00, 1.8842933E+01, 6.1186394E+04, 5.5921315E+02,-1.0042811E+02,-9.8369766E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8460905E+04,
 1.8749573E+03, 7.3570561E+06, 3.9551159E+07, 9.9198710E+03, 5.6401328E+02, 1.7745485E+04, 9.1570873E+00, 2.0189272E+01, 6.1193385E+04, 5.5916860E+02,-1.0799814E+02,-1.0598087E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8456140E+04,
 1.9351876E+03, 7.3227542E+06, 3.9171527E+07, 9.9667502E+03, 5.6348570E+02, 1.6914332E+04, 9.2615040E+00, 1.7349755E+01, 6.1202261E+04, 5.5910941E+02,-1.6960111E+02,-1.6855575E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8451614E+04,
 1.9954689E+03, 7.2149705E+06, 3.8804679E+07, 9.9257413E+03, 5.6177542E+02, 1.6063257E+04, 9.5573272E+00, 1.0323020E+02, 6.1211797E+04, 5.5904649E+02, 1.6125968E+02, 1.6150544E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8446922E+04,
 2.0556885E+03, 7.5571884E+06, 3.8451551E+07, 1.0365591E+04, 5.6728163E+02, 1.5005276E+04, 8.7424136E+00, 1.0410773E+02, 6.1213584E+04, 5.5904171E+02, 4.7422812E+01, 4.5622089E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 2.4189885E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8442017E+04,
 2.1157934E+03, 7.9761554E+06, 3.8110890E+07, 1.0875873E+04, 5.7434009E+02, 1.4177645E+04, 7.5036717E+00, 1.4160249E+01, 6.1216410E+04, 5.5901667E+02, 5.8400526E+00, 5.9234257E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8438499E+04,
